Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	0.31040847	0.31803641
-0.00300000	-0.13994832	0.36165109
-0.00200000	-0.53140378	0.37349287
-0.00100000	-0.80804008	0.35230067
0.00000000	-0.86918676	0.30265749
0.00100000	-0.70573944	0.23179133
0.00200000	-0.38130537	0.16750738
0.00300000	0.05816314	0.11906373
0.00400000	0.45115650	0.10162401
0.00500000	0.73861957	0.11798720
0.00600000	0.84907109	0.16175567
0.00700000	0.76556349	0.22659326
0.00800000	0.49843135	0.29072341
0.00900000	0.08929010	0.34464198
0.01000000	-0.33129305	0.37084767
0.01100000	-0.70300198	0.36540353
0.01200000	-0.87260085	0.33040109
0.01300000	-0.81628323	0.27103838
0.01400000	-0.56732899	0.20687746
0.01500000	-0.15997170	0.14751476
0.01600000	0.25366017	0.11235851
0.01700000	0.61195868	0.10629921
0.01800000	0.81532973	0.13542692
0.01900000	0.83227730	0.19540477
0.02000000	0.65265131	0.26279527
0.02100000	0.30527189	0.32821727
0.02200000	-0.11500369	0.36601871
0.02300000	-0.54724407	0.37023252
0.02400000	-0.81053150	0.34679502
0.02500000	-0.86801797	0.29893577
0.02600000	-0.71241385	0.23788139
0.02700000	-0.36432701	0.17307456
0.02800000	0.04392225	0.12619956
0.02900000	0.45247909	0.10380782
0.03000000	0.73422122	0.11844857
0.03100000	0.84559548	0.16812254
0.03200000	0.76208782	0.22933070
0.03300000	0.49821603	0.29290724
0.03400000	0.10460753	0.34547243
0.03500000	-0.36091289	0.37942913
0.03600000	-0.70014149	0.37355438
0.03700000	-0.86534202	0.32874015
0.03800000	-0.81496060	0.27030021
0.03900000	-0.55468750	0.20669292
0.04000000	-0.17830339	0.15135950
0.04100000	0.25928888	0.11257382
0.04200000	0.60835999	0.10965182
0.04300000	0.81594485	0.14296260
0.04400000	0.83089322	0.19552781
0.04500000	0.65179008	0.25975025
0.04600000	0.31117740	0.31803641
0.04700000	-0.13979454	0.36165109
0.04800000	-0.53140378	0.37333909
0.04900000	-0.80804008	0.35153174
0.05000000	-0.86903298	0.30499509
0.05100000	-0.70497048	0.24080339
0.05200000	-0.38361222	0.17651944
0.05300000	0.04915108	0.12137057
0.05400000	0.44214442	0.10085507
0.05500000	0.73631275	0.11783341
0.05600000	0.84984004	0.16175567
0.05700000	0.76571727	0.22659326
0.05800000	0.49843135	0.29072341
0.05900000	0.08929010	0.34464198
0.06000000	-0.33129305	0.37084767
0.06100000	-0.70300198	0.36540353
0.06200000	-0.87260085	0.33040109
0.06300000	-0.81628323	0.27103838
0.06400000	-0.56732899	0.20687746
0.06500000	-0.15997170	0.14751476
0.06600000	0.25366017	0.11235851
0.06700000	0.61195868	0.10629921
0.06800000	0.81532973	0.13542692
0.06900000	0.83227730	0.19540477
0.07000000	0.65265131	0.26264149
0.07100000	0.30527189	0.32747909
0.07200000	-0.11500369	0.36832553
0.07300000	-0.54724407	0.37921384
0.07400000	-0.81053150	0.35577634
0.07500000	-0.86801797	0.30124262
0.07600000	-0.71241385	0.23711245
0.07700000	-0.36432701	0.17292076
0.07800000	0.04392225	0.12619956
0.07900000	0.45247909	0.10380782
0.08000000	0.73422122	0.11844857
0.08100000	0.84559548	0.16812254
0.08200000	0.76208782	0.22948450
0.08300000	0.49821603	0.29367617
0.08400000	0.10460753	0.34316561
0.08500000	-0.36091289	0.37041709
0.08600000	-0.70014149	0.36457309
0.08700000	-0.86534202	0.32640254
0.08800000	-0.81496060	0.27106914
0.08900000	-0.55468750	0.20684670
0.09000000	-0.17830339	0.15151329
0.09100000	0.25928888	0.11334276
0.09200000	0.60835999	0.10734498
0.09300000	0.81594485	0.13398130
0.09400000	0.83089322	0.18654650
0.09500000	0.65179008	0.25744340
0.09600000	0.31102362	0.31880537
0.09700000	-0.14056349	0.36180487
0.09800000	-0.52909696	0.37349287
0.09900000	-0.79905879	0.35230067
0.10000000	-0.86005169	0.30265749
0.10100000	-0.70266360	0.23179133
0.10200000	-0.38438115	0.16750738
0.10300000	0.04899729	0.11906373
0.10400000	0.44214442	0.10162401
0.10500000	0.73631275	0.11798720
0.10600000	0.84984004	0.16160187
0.10700000	0.76571727	0.22582431
0.10800000	0.49843135	0.29306102
0.10900000	0.08929010	0.35362327
0.11000000	-0.33129305	0.37982899
0.11100000	-0.70300198	0.36771038
0.11200000	-0.87260085	0.32963213
0.11300000	-0.81628323	0.27088460
0.11400000	-0.56732899	0.20687746
0.11500000	-0.15997170	0.14751476
0.11600000	0.25366017	0.11235851
0.11700000	0.61195868	0.10629921
0.11800000	0.81532973	0.13542692
0.11900000	0.83227730	0.19540477
0.12000000	0.65265131	0.26264149
0.12100000	0.30527189	0.32747909
0.12200000	-0.11500369	0.36832553
0.12300000	-0.54724407	0.37921384
0.12400000	-0.81053150	0.35577634
0.12500000	-0.86801797	0.30124262
0.12600000	-0.71241385	0.23711245
0.12700000	-0.36432701	0.17292076
0.12800000	0.04392225	0.12638411
0.12900000	0.45247909	0.10457677
0.13000000	0.73422122	0.11611097
0.13100000	0.84559548	0.15911049
0.13200000	0.76208782	0.22047244
0.13300000	0.49821603	0.29136935
0.13400000	0.10460753	0.34393454
0.13500000	-0.36091289	0.37057087
0.13600000	-0.70014149	0.36472687
0.13700000	-0.86534202	0.32717150
0.13800000	-0.81496060	0.26873153
0.13900000	-0.55468750	0.19786540
0.14000000	-0.17830339	0.14234744
0.14100000	0.25928888	0.11026698
0.14200000	0.60835999	0.11042077
0.14300000	0.81594485	0.14311638
0.14400000	0.83089322	0.19552781
0.14500000	0.65179008	0.25975025
0.14600000	0.31117740	0.31803641
0.14700000	-0.13979454	0.36165109
0.14800000	-0.53140378	0.37333909
0.14900000	-0.80804008	0.35153174
0.15000000	-0.86903298	0.30499509
0.15100000	-0.70497048	0.24080339
0.15200000	-0.38361222	0.17651944
0.15300000	0.04915108	0.12137057
0.15400000	0.44214442	0.10085507
0.15500000	0.73631275	0.11783341
0.15600000	0.84984004	0.16175567
0.15700000	0.76571727	0.22659326
0.15800000	0.49827754	0.29072341
0.15900000	0.08852116	0.34464198
0.16000000	-0.32898623	0.37100148
0.16100000	-0.69398993	0.36617249
0.16200000	-0.86361957	0.32806349
0.16300000	-0.81397635	0.26202634
0.16400000	-0.56809795	0.19774237
0.16500000	-0.16012549	0.14443898
0.16600000	0.25366017	0.11543430
0.16700000	0.61195868	0.11543430
0.16800000	0.81517595	0.14443898
0.16900000	0.83153909	0.19774237
0.17000000	0.65498894	0.26187253
0.17100000	0.31422243	0.32732528
0.17200000	-0.10605315	0.36832553
0.17300000	-0.54493725	0.37921384
0.17400000	-0.81114668	0.35593012
0.17500000	-0.86740279	0.30201155
0.17600000	-0.71472073	0.23480561
0.17700000	-0.37330830	0.16393946
0.17800000	0.03478716	0.11721826
0.17900000	0.44937253	0.10147022
0.18000000	0.73732775	0.11921752
0.18100000	0.85473055	0.16827632
0.18200000	0.77106917	0.22948450
0.18300000	0.50055367	0.29367617
0.18400000	0.10383859	0.34316561
0.18499999	-0.36106667	0.37041709
0.18599999	-0.70014149	0.36457309
0.18699999	-0.86534202	0.32640254
0.18799999	-0.81496060	0.27106914
0.18899999	-0.55468750	0.20684670
0.18999999	-0.17845719	0.15151329
0.19099999	0.25851992	0.11334276
0.19199999	0.61069757	0.10734498
0.19299999	0.82495695	0.13398130
0.19399999	0.83990526	0.18654650
0.19499999	0.65409696	0.25744340
0.19599999	0.31040847	0.31880537
0.19699999	-0.13994832	0.36180487
0.19799999	-0.53125000	0.37333909
0.19899999	-0.80727118	0.35153174
0.19999999	-0.87149358	0.30484128
0.20099999	-0.71475148	0.24003445
0.20199999	-0.39028665	0.17882627
0.20299999	0.05582554	0.13035187
0.20399999	0.45207924	0.10983637
0.20499999	0.73954231	0.12014025
0.20599999	0.84676427	0.16101746
0.20699999	0.75658220	0.22643946
0.20799999	0.48945004	0.29072341
0.20899999	0.08698327	0.34464198
0.20999999	-0.33052412	0.37084767
0.21099999	-0.70284820	0.36540353
0.21199999	-0.87260085	0.33055487
0.21299999	-0.81628323	0.27180734
0.21399999	-0.56748277	0.20457062
0.21499999	-0.16074064	0.13853346
0.21599999	0.25599778	0.10337722
0.21699999	0.62097073	0.10396162
0.21799999	0.82431102	0.13619587
0.21899999	0.83461493	0.19555856
0.21999999	0.65191317	0.26264149
0.22099999	0.30508736	0.32747909
0.22199999	-0.11500369	0.36832553
0.22299999	-0.54724407	0.37921384
0.22399999	-0.81068528	0.35577634
0.22499999	-0.86878693	0.30124262
0.22599999	-0.71007627	0.23711245
0.22699999	-0.35534573	0.17292076
0.22799999	0.05290354	0.12638411
0.22899999	0.45478591	0.10457677
0.22999999	0.73345226	0.11611097
0.23099999	0.84541094	0.15911049
0.23199999	0.76208782	0.22031865
0.23299999	0.49821603	0.29060039
0.23399999	0.10460753	0.34624138
0.23499999	-0.36091289	0.37958291
0.23599999	-0.70014149	0.37370816
0.23699999	-0.86534202	0.32950911
0.23799999	-0.81496060	0.26799336
0.23899999	-0.55468750	0.19771162
0.23999999	-0.17830339	0.14250124
0.24099999	0.25928888	0.11103593
0.24199999	0.60835999	0.10811393
0.24299999	0.81594485	0.13413508
0.24399999	0.83089322	0.18654650
0.24499999	0.65179008	0.25744340
0.24599999	0.31117740	0.31880537
0.24699999	-0.13979454	0.36180487
0.24799999	-0.53140378	0.37349287
0.24899999	-0.80804008	0.35230067
0.24999999	-0.86903298	0.30250368
0.25099999	-0.70497048	0.23102239
0.25199999	-0.38361222	0.16981423
0.25299999	0.04915108	0.12801427
0.25399999	0.44214442	0.11060531
0.25499999	0.73631275	0.12029404
0.25599999	0.84984004	0.16101746
0.25699999	0.76571727	0.22643946
0.25799999	0.49843135	0.29072341
0.25899999	0.08929010	0.34464198
0.25999999	-0.33129305	0.37084767
0.26099999	-0.70300198	0.36540353
0.26199999	-0.87260085	0.33055487
0.26299999	-0.81628323	0.27180734
0.26399999	-0.56732899	0.20457062
0.26499999	-0.15997170	0.13853346
0.26599999	0.25366017	0.10337722
0.26699999	0.61195868	0.10396162
0.26799999	0.81532973	0.13634965
0.26899999	0.83227730	0.19632751
0.26999999	0.65265131	0.26048842
0.27099999	0.30527189	0.31923598
0.27199999	-0.11500369	0.35700664
0.27299999	-0.54724407	0.36792567
0.27399999	-0.81053150	0.34756398
0.27499999	-0.86801797	0.29908955
0.27599999	-0.71241385	0.23788139
0.27699999	-0.36432701	0.17307456
0.27799999	0.04392225	0.12638411
0.27899999	0.45247909	0.10457677
0.27999999	0.73422122	0.11611097
0.28099999	0.84559548	0.15911049
0.28199999	0.76208782	0.22047244
0.28299999	0.49821603	0.29136935
0.28399999	0.10460753	0.34393454
0.28499999	-0.36091289	0.37057087
0.28599999	-0.70014149	0.36457309
0.28699999	-0.86534202	0.32640254
0.28799999	-0.81496060	0.27106914
0.28899999	-0.55468750	0.20684670
0.28999999	-0.17830339	0.15151329
0.29099999	0.25928888	0.11334276
0.29199999	0.60835999	0.10734498
0.29299999	0.81594485	0.13398130
0.29399999	0.83089322	0.18654650
0.29499999	0.65179008	0.25744340
