Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	0.45866141	0.36180487
-0.00300000	0.03863189	0.31880537
-0.00200000	-0.37902927	0.25744340
-0.00100000	-0.73437500	0.18654650
0.00000000	-0.88059795	0.13398130
0.00100000	-0.79702878	0.10734498
0.00200000	-0.52774358	0.11318897
0.00300000	-0.11008243	0.15074433
0.00400000	0.30358022	0.20918430
0.00500000	0.65157479	0.28005046
0.00600000	0.83461493	0.33541462
0.00700000	0.82431102	0.36687991
0.00800000	0.62127829	0.36980191
0.00900000	0.25750491	0.34378076
0.01000000	-0.16566192	0.29136935
0.01100000	-0.58698326	0.22047244
0.01200000	-0.82978594	0.15911049
0.01300000	-0.86005169	0.11611097
0.01400000	-0.68116385	0.10457677
0.01500000	-0.31735975	0.12638411
0.01600000	0.09661048	0.17292076
0.01700000	0.49969241	0.23711245
0.01800000	0.76710135	0.30139640
0.01900000	0.85789859	0.35654527
0.02000000	0.74806225	0.37706077
0.02100000	0.45577016	0.36008242
0.02200000	0.05028912	0.31616017
0.02300000	-0.40920275	0.25132260
0.02400000	-0.73071480	0.18719243
0.02500000	-0.86869460	0.13327387
0.02600000	-0.79213828	0.10706816
0.02700000	-0.51067299	0.11251231
0.02800000	-0.12275468	0.14751476
0.02900000	0.31486836	0.20687746
0.03000000	0.65240526	0.27103838
0.03100000	0.83882874	0.33040109
0.03200000	0.82757133	0.36540353
0.03300000	0.62121677	0.37084767
0.03400000	0.26288754	0.34479576
0.03500000	-0.19414370	0.29149237
0.03600000	-0.57391119	0.22428642
0.03700000	-0.82206571	0.15277436
0.03800000	-0.85685283	0.10882135
0.03900000	-0.67285925	0.09854823
0.04000000	-0.33409202	0.12213952
0.04100000	0.11078987	0.17667323
0.04200000	0.49809301	0.24080339
0.04300000	0.76983881	0.30499509
0.04400000	0.85703743	0.35153174
0.04500000	0.74627829	0.37333909
0.04600000	0.45850763	0.36180487
0.04700000	0.03786294	0.31880537
0.04800000	-0.37672243	0.25744340
0.04900000	-0.72539371	0.18654650
0.05000000	-0.87173969	0.13413508
0.05100000	-0.79546016	0.10811393
0.05200000	-0.52617496	0.11088213
0.05300000	-0.10125492	0.14173228
0.05400000	0.31253076	0.20017225
0.05500000	0.65391243	0.27774361
0.05600000	0.83384597	0.33633736
0.05700000	0.82415724	0.36780265
0.05800000	0.62143207	0.36749509
0.05900000	0.25827387	0.33479947
0.06000000	-0.16799951	0.28238803
0.06100000	-0.59599531	0.21816561
0.06200000	-0.83892101	0.15987943
0.06300000	-0.86312747	0.11626476
0.06400000	-0.67808807	0.10457677
0.06500000	-0.30822465	0.12638411
0.06600000	0.10556103	0.17307456
0.06700000	0.50199926	0.23788139
0.06800000	0.76620942	0.29908955
0.06900000	0.85697585	0.34756398
0.07000000	0.75036907	0.36792567
0.07100000	0.46472073	0.35700664
0.07200000	0.05923967	0.31923598
0.07300000	-0.40686515	0.26048842
0.07400000	-0.73148376	0.19617371
0.07500000	-0.86884844	0.13558070
0.07600000	-0.79213828	0.10629921
0.07700000	-0.51067299	0.11235851
0.07800000	-0.12275468	0.14751476
0.07900000	0.31486836	0.20687746
0.08000000	0.65240526	0.27103838
0.08100000	0.83882874	0.33040109
0.08200000	0.82757133	0.36540353
0.08300000	0.62121677	0.37084767
0.08400000	0.26304135	0.34479576
0.08500000	-0.19337475	0.29149237
0.08600000	-0.57621801	0.22428642
0.08700000	-0.83104700	0.15277436
0.08800000	-0.86571109	0.10882135
0.08900000	-0.67442793	0.09854823
0.09000000	-0.33562991	0.12213952
0.09100000	0.10199311	0.17667323
0.09200000	0.48911172	0.24080339
0.09300000	0.76753199	0.30499509
0.09400000	0.85796010	0.35153174
0.09500000	0.74720103	0.37333909
0.09600000	0.45635459	0.36180487
0.09700000	0.02965059	0.31880537
0.09800000	-0.38801059	0.25744340
0.09900000	-0.73668182	0.18654650
0.10000000	-0.87982899	0.13413508
0.10100000	-0.79687500	0.10811393
0.10200000	-0.52774358	0.11103593
0.10300000	-0.11008243	0.14250124
0.10400000	0.30358022	0.19786540
0.10500000	0.65157479	0.26873153
0.10600000	0.83461493	0.32717150
0.10700000	0.82431102	0.36472687
0.10800000	0.62127829	0.37057087
0.10900000	0.25750491	0.34393454
0.11000000	-0.16566192	0.29136935
0.11100000	-0.58698326	0.22047244
0.11200000	-0.82978594	0.15911049
0.11300000	-0.86005169	0.11611097
0.11400000	-0.68116385	0.10457677
0.11500000	-0.31735975	0.12638411
0.11600000	0.09661048	0.17292076
0.11700000	0.49969241	0.23711245
0.11800000	0.76710135	0.30139640
0.11900000	0.85789859	0.35654527
0.12000000	0.74806225	0.37706077
0.12100000	0.45577016	0.36008242
0.12200000	0.05028912	0.31616017
0.12300000	-0.40920275	0.25132260
0.12400000	-0.73071480	0.18719243
0.12500000	-0.86869460	0.13327387
0.12600000	-0.79213828	0.10706816
0.12700000	-0.51067299	0.11251231
0.12800000	-0.12275468	0.14751476
0.12900000	0.31486836	0.20687746
0.13000000	0.65240526	0.27103838
0.13100000	0.83882874	0.33040109
0.13200000	0.82757133	0.36555734
0.13300000	0.62121677	0.37161663
0.13400000	0.26288754	0.34233513
0.13500000	-0.19414370	0.28174213
0.13600000	-0.57391119	0.21758120
0.13700000	-0.82206571	0.15944882
0.13800000	-0.85685283	0.11860237
0.13900000	-0.67285925	0.10100885
0.14000000	-0.33424580	0.12137057
0.14100000	0.11002091	0.17651944
0.14200000	0.50039983	0.24080339
0.14300000	0.77882010	0.30499509
0.14400000	0.86601871	0.35153174
0.14500000	0.74858516	0.37333909
0.14600000	0.45773867	0.36180487
0.14700000	0.03770915	0.31880537
0.14800000	-0.37672243	0.25744340
0.14900000	-0.72539371	0.18654650
0.15000000	-0.87173969	0.13398130
0.15100000	-0.79546016	0.10734498
0.15200000	-0.52617496	0.11334276
0.15300000	-0.10125492	0.15151329
0.15400000	0.31253076	0.20669292
0.15500000	0.65391243	0.27030021
0.15600000	0.83384597	0.32874015
0.15700000	0.82415724	0.37355438
0.15800000	0.62127829	0.37958291
0.15900000	0.25750491	0.34624138
0.16000000	-0.16550812	0.29060039
0.16100000	-0.58621430	0.22031865
0.16200000	-0.83209276	0.15911049
0.16300000	-0.86900222	0.11611097
0.16400000	-0.69014519	0.10457677
0.16500000	-0.31966659	0.12638411
0.16600000	0.09737943	0.17307456
0.16700000	0.49984622	0.23788139
0.16800000	0.76694757	0.29908955
0.16900000	0.85712969	0.34756398
0.17000000	0.75036907	0.36807948
0.17100000	0.46472073	0.35777560
0.17200000	0.05923967	0.31689838
0.17300000	-0.40686515	0.25147638
0.17400000	-0.73148376	0.18734621
0.17500000	-0.86884844	0.13404281
0.17600000	-0.79198450	0.10473056
0.17700000	-0.50990403	0.10353100
0.17800000	-0.12506151	0.13853346
0.17900000	0.30588704	0.20457062
0.18000000	0.64327019	0.27180734
0.18100000	0.83575296	0.33055487
0.18200000	0.83064717	0.36555734
0.18300000	0.63035184	0.37161663
0.18400000	0.27199188	0.34233513
0.18499999	-0.19106792	0.28174213
0.18599999	-0.57698697	0.21758120
0.18699999	-0.83120078	0.15944882
0.18799999	-0.86586493	0.11875615
0.18899999	-0.67516607	0.10177781
0.18999999	-0.33332309	0.11906373
0.19099999	0.11094365	0.16750738
0.19199999	0.49809301	0.23179133
0.19299999	0.76983881	0.30265749
0.19399999	0.85719121	0.35230067
0.19499999	0.74704725	0.37349287
0.19599999	0.45620078	0.36180487
0.19699999	0.02888164	0.31880537
0.19799999	-0.38567299	0.25759721
0.19899999	-0.72770053	0.18731545
0.19999999	-0.87081695	0.13167445
0.20099999	-0.79456818	0.09833292
0.20199999	-0.52851254	0.10436147
0.20299999	-0.11023622	0.14917569
0.20399999	0.30358022	0.20761564
0.20499999	0.65157479	0.27122292
0.20599999	0.83461493	0.32640254
0.20699999	0.82431102	0.36457309
0.20799999	0.62127829	0.37057087
0.20899999	0.25750491	0.34393454
0.20999999	-0.16566192	0.29136935
0.21099999	-0.58698326	0.22047244
0.21199999	-0.82978594	0.15911049
0.21299999	-0.86005169	0.11611097
0.21399999	-0.68116385	0.10457677
0.21499999	-0.31735975	0.12638411
0.21599999	0.09676427	0.17307456
0.21699999	0.50046134	0.23788139
0.21799999	0.76479453	0.29908955
0.21899999	0.84891731	0.34756398
0.21999999	0.73908097	0.36807948
0.22099999	0.45343259	0.35777560
0.22199999	0.05105807	0.31708291
0.22299999	-0.40904897	0.25224534
0.22399999	-0.73071480	0.18485482
0.22499999	-0.86869460	0.12429257
0.22599999	-0.79213828	0.09808686
0.22699999	-0.51067299	0.11020546
0.22799999	-0.12275468	0.14828371
0.22899999	0.31486836	0.20703125
0.22999999	0.65240526	0.27103838
0.23099999	0.83882874	0.33040109
0.23199999	0.82757133	0.36540353
0.23299999	0.62121677	0.37084767
0.23399999	0.26288754	0.34464198
0.23499999	-0.19414370	0.29072341
0.23599999	-0.57391119	0.22659326
0.23699999	-0.82206571	0.16175567
0.23799999	-0.85685283	0.11783341
0.23899999	-0.67285925	0.10085507
0.23999999	-0.33409202	0.12121678
0.24099999	0.11078987	0.17575049
0.24199999	0.49809301	0.24311024
0.24299999	0.76983881	0.31397638
0.24399999	0.85703743	0.36054379
0.24499999	0.74627829	0.37567666
0.24599999	0.45850763	0.36103591
0.24699999	0.03786294	0.31862080
0.24799999	-0.37672243	0.25744340
0.24899999	-0.72539371	0.18654650
0.24999999	-0.87158585	0.13413508
0.25099999	-0.79472196	0.10811393
0.25199999	-0.52851254	0.11088213
0.25299999	-0.11023622	0.14173228
0.25399999	0.30358022	0.20017225
0.25499999	0.65157479	0.27774361
0.25599999	0.83461493	0.33618355
0.25699999	0.82431102	0.36703372
0.25799999	0.62127829	0.36980191
0.25899999	0.25750491	0.34378076
0.25999999	-0.16566192	0.29136935
0.26099999	-0.58698326	0.22047244
0.26199999	-0.82978594	0.15911049
0.26299999	-0.86005169	0.11611097
0.26399999	-0.68116385	0.10457677
0.26499999	-0.31735975	0.12638411
0.26599999	0.09661048	0.17292076
0.26699999	0.49969241	0.23711245
0.26799999	0.76694757	0.30139640
0.26899999	0.85712969	0.35654527
0.26999999	0.75036907	0.37706077
0.27099999	0.46472073	0.36008242
0.27199999	0.05923967	0.31616017
0.27299999	-0.40686515	0.25132260
0.27399999	-0.73163754	0.18719243
0.27499999	-0.86961734	0.13327387
0.27599999	-0.78980070	0.10706816
0.27699999	-0.50166094	0.11251231
0.27799999	-0.11374262	0.14751476
0.27899999	0.31720597	0.20687746
0.27999999	0.65148252	0.27103838
0.28099999	0.83790600	0.33040109
0.28199999	0.83006275	0.36540353
0.28299999	0.63093626	0.37084767
0.28399999	0.26968503	0.34464198
0.28499999	-0.20004921	0.29072341
0.28599999	-0.58596826	0.22659326
0.28699999	-0.83350760	0.16175567
0.28799999	-0.86509597	0.11783341
0.28899999	-0.67501229	0.10085507
0.28999999	-0.33332309	0.12137057
0.29099999	0.11094365	0.17651944
0.29199999	0.49793923	0.24080339
0.29299999	0.76906985	0.30499509
0.29399999	0.85952878	0.35153174
0.29499999	0.75605929	0.37333909
