Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	-0.66400099	0.14969857
-0.00300000	-0.28930855	0.21512057
-0.00200000	0.12755290	0.28235728
-0.00100000	0.52522147	0.34171999
0.00000000	0.78094244	0.37376967
0.00100000	0.85537648	0.37376967
0.00200000	0.73093009	0.34156618
0.00300000	0.42768824	0.28158835
0.00400000	0.01943898	0.21742742
0.00500000	-0.43396285	0.15867987
0.00600000	-0.74686271	0.12090920
0.00700000	-0.87515378	0.10999016
0.00800000	-0.78395671	0.13019808
0.00900000	-0.48489788	0.17805733
0.01000000	-0.09113558	0.24234129
0.01100000	0.33981299	0.31382260
0.01200000	0.66855317	0.36054379
0.01300000	0.84528792	0.37567666
0.01400000	0.81957430	0.36103591
0.01500000	0.59624141	0.31862080
0.01600000	0.22911540	0.25759721
0.01700000	-0.22726993	0.18731545
0.01800000	-0.60116267	0.13167445
0.01900000	-0.83907479	0.09833292
0.02000000	-0.85925198	0.10420768
0.02100000	-0.65828001	0.14840674
0.02200000	-0.31086984	0.20992249
0.02300000	0.13278174	0.28020424
0.02400000	0.51731670	0.33541462
0.02500000	0.78543305	0.36687991
0.02600000	0.85817546	0.36980191
0.02700000	0.72440946	0.34378076
0.02800000	0.42169046	0.29136935
0.02900000	-0.00442913	0.22047244
0.03000000	-0.41298598	0.15911049
0.03100000	-0.74470967	0.11611097
0.03200000	-0.87333906	0.10442298
0.03300000	-0.78072709	0.12561515
0.03400000	-0.50295275	0.17525837
0.03500000	-0.07923228	0.24612451
0.03600000	0.33163139	0.31040847
0.03700000	0.66873771	0.35885212
0.03800000	0.83710629	0.37629184
0.03900000	0.81050074	0.35992864
0.04000000	0.59590304	0.31616017
0.04100000	0.22733144	0.25132260
0.04200000	-0.19586614	0.18719243
0.04300000	-0.61235851	0.13327387
0.04400000	-0.84359622	0.10706816
0.04500000	-0.85749876	0.11251231
0.04600000	-0.66400099	0.14751476
0.04700000	-0.28930855	0.20687746
0.04800000	0.12755290	0.27103838
0.04900000	0.52522147	0.33040109
0.05000000	0.78094244	0.36555734
0.05100000	0.85537648	0.37161663
0.05200000	0.73093009	0.34248891
0.05300000	0.42768824	0.28251109
0.05400000	0.01943898	0.21527436
0.05500000	-0.43396285	0.15043676
0.05600000	-0.74686271	0.10959031
0.05700000	-0.87515378	0.09870202
0.05800000	-0.78395671	0.12198573
0.05900000	-0.48489788	0.17590427
0.06000000	-0.09113558	0.24295644
0.06100000	0.33981299	0.31323817
0.06200000	0.66839933	0.36285064
0.06300000	0.84451896	0.38465798
0.06400000	0.82188118	0.37001723
0.06500000	0.60522270	0.32095841
0.06600000	0.23812746	0.25667447
0.06700000	-0.22496308	0.18639271
0.06800000	-0.60193157	0.13398130
0.06900000	-0.83922857	0.10734498
0.07000000	-0.85925198	0.11318897
0.07100000	-0.65828001	0.15074433
0.07200000	-0.31071603	0.20918430
0.07300000	0.13355069	0.28005046
0.07400000	0.51485604	0.33541462
0.07500000	0.77571356	0.36687991
0.07600000	0.85150099	0.36995572
0.07700000	0.73108393	0.34454972
0.07800000	0.43159449	0.28903174
0.07900000	-0.00119956	0.21149114
0.08000000	-0.41606176	0.15012918
0.08100000	-0.75384474	0.11380413
0.08200000	-0.88232034	0.10516117
0.08300000	-0.78306472	0.12576894
0.08400000	-0.50221455	0.17525837
0.08500000	-0.07907850	0.24612451
0.08600000	0.33163139	0.31040847
0.08700000	0.66873771	0.35885212
0.08800000	0.83726007	0.37613803
0.08900000	0.81126970	0.35915971
0.09000000	0.59359622	0.31846702
0.09100000	0.21831939	0.26033464
0.09200000	-0.20487820	0.19617371
0.09300000	-0.61466533	0.13558070
0.09400000	-0.84282726	0.10629921
0.09500000	-0.85734499	0.11235851
0.09600000	-0.66400099	0.14736098
0.09700000	-0.28930855	0.20610851
0.09800000	0.12755290	0.27334523
0.09900000	0.52522147	0.33938238
0.10000000	0.78094244	0.37453863
0.10100000	0.85537648	0.37395424
0.10200000	0.73093009	0.34156618
0.10300000	0.42768824	0.28158835
0.10400000	0.01943898	0.21758120
0.10500000	-0.43396285	0.15944882
0.10600000	-0.74686271	0.11860237
0.10700000	-0.87515378	0.10100885
0.10800000	-0.78395671	0.12121678
0.10900000	-0.48489788	0.17575049
0.11000000	-0.09098179	0.24311024
0.11100000	0.34055117	0.31397638
0.11200000	0.66606176	0.36054379
0.11300000	0.83553767	0.37567666
0.11400000	0.81289983	0.36103591
0.11500000	0.60291582	0.31862080
0.11600000	0.23874262	0.25744340
0.11700000	-0.22557825	0.18654650
0.11800000	-0.59962475	0.13398130
0.11900000	-0.83021653	0.10734498
0.12000000	-0.85023993	0.11318897
0.12100000	-0.65594244	0.15074433
0.12200000	-0.31163877	0.20903051
0.12300000	0.13262795	0.27928150
0.12400000	0.51731670	0.33787525
0.12500000	0.78543305	0.37666091
0.12600000	0.85817546	0.37650713
0.12700000	0.72440946	0.33710629
0.12800000	0.42169046	0.28161910
0.12900000	-0.00442913	0.21801181
0.13000000	-0.41298598	0.15987943
0.13100000	-0.74470967	0.11626476
0.13200000	-0.87352359	0.10442298
0.13300000	-0.78149605	0.12561515
0.13400000	-0.50064594	0.17525837
0.13500000	-0.07025098	0.24612451
0.13600000	0.34061271	0.31040847
0.13700000	0.67104453	0.35885212
0.13800000	0.83633733	0.37629184
0.13900000	0.81034696	0.35992864
0.14000000	0.59590304	0.31616017
0.14100000	0.22733144	0.25132260
0.14200000	-0.19586614	0.18719243
0.14300000	-0.61235851	0.13327387
0.14400000	-0.84359622	0.10691437
0.14500000	-0.85749876	0.11174335
0.14600000	-0.66400099	0.14985237
0.14700000	-0.28930855	0.21588951
0.14800000	0.12770669	0.28001967
0.14900000	0.52599043	0.33270791
0.15000000	0.77845103	0.36463460
0.15100000	0.84562624	0.37069389
0.15200000	0.72437871	0.34479576
0.15300000	0.43510088	0.29149237
0.15400000	0.02688238	0.22413263
0.15500000	-0.44045275	0.15200542
0.15600000	-0.75658220	0.11112820
0.15700000	-0.87764519	0.10752953
0.15800000	-0.78318775	0.13112082
0.15900000	-0.48474410	0.17898007
0.16000000	-0.09098179	0.24003445
0.16100000	0.34055117	0.30484128
0.16200000	0.66606176	0.35153174
0.16300000	0.83553767	0.37333909
0.16400000	0.81289983	0.36180487
0.16500000	0.60291582	0.31880537
0.16600000	0.23889640	0.25744340
0.16700000	-0.22480930	0.18654650
0.16800000	-0.60208535	0.13398130
0.16900000	-0.83999753	0.10734498
0.17000000	-0.85691434	0.11318897
0.17100000	-0.64926797	0.15074433
0.17200000	-0.30188853	0.20918430
0.17300000	0.13511933	0.28005046
0.17400000	0.51639396	0.33541462
0.17500000	0.78451031	0.36687991
0.17600000	0.86048228	0.36980191
0.17700000	0.73339075	0.34378076
0.17800000	0.43067175	0.29136935
0.17900000	-0.00212229	0.22047244
0.18000000	-0.41375491	0.15911049
0.18100000	-0.74486345	0.11611097
0.18200000	-0.87333906	0.10442298
0.18300000	-0.78072709	0.12561515
0.18400000	-0.50295275	0.17525837
0.18499999	-0.07923228	0.24612451
0.18599999	0.33163139	0.31040847
0.18699999	0.66873771	0.35885212
0.18799999	0.83710629	0.37629184
0.18899999	0.81050074	0.35992864
0.18999999	0.59590304	0.31616017
0.19099999	0.22733144	0.25132260
0.19199999	-0.19586614	0.18719243
0.19299999	-0.61235851	0.13327387
0.19399999	-0.84359622	0.10706816
0.19499999	-0.85749876	0.11251231
0.19599999	-0.66400099	0.14736098
0.19699999	-0.28930855	0.20610851
0.19799999	0.12755290	0.27334523
0.19899999	0.52522147	0.33938238
0.19999999	0.78094244	0.37438485
0.20099999	0.85537648	0.37318528
0.20199999	0.73093009	0.34402683
0.20299999	0.42768824	0.29133859
0.20399999	0.01943898	0.22428642
0.20499999	-0.43396285	0.15277436
0.20599999	-0.74686271	0.10882135
0.20699999	-0.87515378	0.09854823
0.20799999	-0.78395671	0.12198573
0.20899999	-0.48489788	0.17590427
0.20999999	-0.09113558	0.24295644
0.21099999	0.33981299	0.31323817
0.21199999	0.66855317	0.36285064
0.21299999	0.84528792	0.38465798
0.21399999	0.81957430	0.37001723
0.21499999	0.59624141	0.32095841
0.21599999	0.22911540	0.25667447
0.21699999	-0.22726993	0.18639271
0.21799999	-0.60116267	0.13398130
0.21899999	-0.83907479	0.10734498
0.21999999	-0.85925198	0.11318897
0.22099999	-0.65828001	0.15074433
0.22199999	-0.31086984	0.20918430
0.22299999	0.13278174	0.28005046
0.22399999	0.51731670	0.33541462
0.22499999	0.78543305	0.36687991
0.22599999	0.85817546	0.36980191
0.22699999	0.72440946	0.34378076
0.22799999	0.42184424	0.29136935
0.22899999	-0.00366019	0.22047244
0.22999999	-0.41529280	0.15911049
0.23099999	-0.75369096	0.11611097
0.23199999	-0.88232034	0.10442298
0.23299999	-0.78306472	0.12561515
0.23399999	-0.50236833	0.17525837
0.23499999	-0.07984744	0.24612451
0.23599999	0.33393824	0.31040847
0.23699999	0.67771900	0.35885212
0.23799999	0.84611833	0.37629184
0.23899999	0.81280756	0.35992864
0.23999999	0.59513408	0.31616017
0.24099999	0.22717765	0.25132260
0.24199999	-0.19586614	0.18719243
0.24299999	-0.61235851	0.13327387
0.24399999	-0.84359622	0.10691437
0.24499999	-0.85749876	0.11174335
0.24599999	-0.66384721	0.14969857
0.24699999	-0.28853962	0.21512057
0.24799999	0.12524606	0.28235728
0.24899999	0.51624018	0.34171999
0.24999999	0.77196109	0.37376967
0.25099999	0.85306960	0.37376967
0.25199999	0.73182207	0.34156618
0.25299999	0.42861098	0.28158835
0.25399999	0.01713214	0.21758120
0.25499999	-0.44291338	0.15944882
0.25599999	-0.75581324	0.11860237
0.25699999	-0.87749135	0.10100885
0.25799999	-0.78318775	0.12137057
0.25899999	-0.48474410	0.17651944
0.25999999	-0.09098179	0.24080339
0.26099999	0.34055117	0.30499509
0.26199999	0.66624629	0.35153174
0.26299999	0.83630657	0.37333909
0.26399999	0.81071603	0.36180487
0.26499999	0.59467274	0.31880537
0.26599999	0.22757751	0.25759721
0.26699999	-0.23612820	0.18731545
0.26799999	-0.61032850	0.13167445
0.26899999	-0.84215057	0.09833292
0.26999999	-0.85617620	0.10420768
0.27099999	-0.64911419	0.14840674
0.27199999	-0.30188853	0.20976870
0.27299999	0.13511933	0.27946603
0.27399999	0.51639396	0.33772147
0.27499999	0.78451031	0.37589198
0.27599999	0.86048228	0.37896776
0.27699999	0.73339075	0.34685653
0.27799999	0.43082553	0.28826278
0.27899999	-0.00135335	0.21133736
0.27999999	-0.41606176	0.15012918
0.28099999	-0.75384474	0.11380413
0.28199999	-0.88232034	0.10516117
0.28299999	-0.78306472	0.12576894
0.28399999	-0.50221455	0.17525837
0.28499999	-0.07907850	0.24612451
0.28599999	0.33163139	0.31040847
0.28699999	0.66873771	0.35885212
0.28799999	0.83726007	0.37629184
0.28899999	0.81126970	0.35992864
0.28999999	0.59359622	0.31616017
0.29099999	0.21831939	0.25132260
0.29199999	-0.20487820	0.18719243
0.29299999	-0.61466533	0.13327387
0.29399999	-0.84282726	0.10706816
0.29499999	-0.85734499	0.11251231
