Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	-0.85030144	0.15944882
-0.00300000	-0.63238192	0.21758120
-0.00200000	-0.27928150	0.28158835
-0.00100000	0.15769562	0.34156618
0.00000000	0.53312624	0.37376967
0.00100000	0.79038507	0.37376967
0.00200000	0.85460752	0.34171999
0.00300000	0.71662772	0.28235728
0.00400000	0.40821850	0.21512057
0.00500000	-0.02392963	0.14969857
0.00600000	-0.43282479	0.11174335
0.00700000	-0.75968874	0.10691437
0.00800000	-0.87663019	0.13327387
0.00900000	-0.76703984	0.18719243
0.01000000	-0.47742373	0.25132260
0.01100000	-0.04825911	0.31616017
0.01200000	0.35968259	0.35992864
0.01300000	0.68590057	0.37629184
0.01400000	0.83965921	0.35869834
0.01500000	0.79669046	0.30963951
0.01600000	0.57037401	0.24843135
0.01700000	0.19635826	0.18423967
0.01800000	-0.22376353	0.13475025
0.01900000	-0.62875247	0.10749877
0.02000000	-0.84845597	0.11318897
0.02100000	-0.85266978	0.15074433
0.02200000	-0.64745325	0.20918430
0.02300000	-0.26064223	0.28005046
0.02400000	0.15625000	0.33556840
0.02500000	0.54176921	0.36764887
0.02600000	0.78561759	0.36764887
0.02700000	0.84977853	0.33556840
0.02800000	0.71699679	0.28005046
0.02900000	0.40954110	0.20918430
0.03000000	-0.00485974	0.15089813
0.03100000	-0.46613559	0.11395792
0.03200000	-0.77039248	0.10516117
0.03300000	-0.87509227	0.12576894
0.03400000	-0.76587105	0.17525837
0.03500000	-0.45595473	0.24612451
0.03600000	-0.06250000	0.31040847
0.03700000	0.35636073	0.35885212
0.03800000	0.67325908	0.37644562
0.03900000	0.83968997	0.36069760
0.04000000	0.80564100	0.31382260
0.04100000	0.57809424	0.24234129
0.04200000	0.20497048	0.17821112
0.04300000	-0.25873524	0.13096702
0.04400000	-0.62709153	0.10768332
0.04500000	-0.84799457	0.11189715
0.04600000	-0.85030144	0.14969857
0.04700000	-0.63238192	0.21512057
0.04800000	-0.27928150	0.28235728
0.04900000	0.15769562	0.34171999
0.05000000	0.53312624	0.37376967
0.05100000	0.79038507	0.37376967
0.05200000	0.85476130	0.34171999
0.05300000	0.71739668	0.28235728
0.05400000	0.40591165	0.21527436
0.05500000	-0.03291092	0.15043676
0.05600000	-0.44177535	0.10959031
0.05700000	-0.76199555	0.09870202
0.05800000	-0.87586123	0.12198573
0.05900000	-0.76688606	0.17590427
0.06000000	-0.47742373	0.24311024
0.06100000	-0.04825911	0.31397638
0.06200000	0.35952878	0.36069760
0.06300000	0.68513167	0.37644562
0.06400000	0.84196603	0.35869834
0.06500000	0.80564100	0.30963951
0.06600000	0.57935530	0.24843135
0.06700000	0.19866511	0.18423967
0.06800000	-0.22468626	0.13459645
0.06900000	-0.62967521	0.10672982
0.07000000	-0.84611833	0.11552657
0.07100000	-0.84368849	0.15972564
0.07200000	-0.63847196	0.21801181
0.07300000	-0.25833538	0.28161910
0.07400000	0.15548106	0.33710629
0.07500000	0.54161543	0.37650713
0.07600000	0.78561759	0.37666091
0.07700000	0.84977853	0.33787525
0.07800000	0.71684301	0.27946603
0.07900000	0.40877214	0.20976870
0.08000000	-0.00255290	0.14840674
0.08100000	-0.45715427	0.10420768
0.08200000	-0.76144195	0.09833292
0.08300000	-0.87278545	0.13167445
0.08400000	-0.76679379	0.18731545
0.08500000	-0.45687747	0.25759721
0.08600000	-0.06019316	0.31862080
0.08700000	0.36531126	0.36103591
0.08800000	0.68220967	0.37567666
0.08900000	0.84199679	0.36054379
0.09000000	0.80471826	0.31397638
0.09100000	0.57717150	0.24311024
0.09200000	0.20712352	0.17590427
0.09300000	-0.25049213	0.12198573
0.09400000	-0.61577266	0.09870202
0.09500000	-0.83667570	0.10959031
0.09600000	-0.84208906	0.15043676
0.09700000	-0.63019806	0.21527436
0.09800000	-0.28005046	0.28251109
0.09900000	0.15754183	0.34248891
0.10000000	0.53312624	0.37146285
0.10100000	0.79038507	0.36478838
0.10200000	0.85460752	0.33270791
0.10300000	0.71662772	0.28001967
0.10400000	0.40821850	0.21588951
0.10500000	-0.02392963	0.14985237
0.10600000	-0.43264025	0.11174335
0.10700000	-0.75891978	0.10691437
0.10800000	-0.87893701	0.13327387
0.10900000	-0.77605194	0.18719243
0.11000000	-0.48640501	0.25132260
0.11100000	-0.05059670	0.31616017
0.11200000	0.36026698	0.35992864
0.11300000	0.68528545	0.37629184
0.11400000	0.84196603	0.35869834
0.11500000	0.80564100	0.30963951
0.11600000	0.57935530	0.24843135
0.11700000	0.19866511	0.18423967
0.11800000	-0.22453249	0.13459645
0.11900000	-0.62890625	0.10672982
0.12000000	-0.84845597	0.11552657
0.12100000	-0.85266978	0.15972564
0.12200000	-0.64745325	0.21816561
0.12300000	-0.26064223	0.28238803
0.12400000	0.15625000	0.33479947
0.12500000	0.54176921	0.36749509
0.12600000	0.78561759	0.36764887
0.12700000	0.84977853	0.33556840
0.12800000	0.71684301	0.28020424
0.12900000	0.40877214	0.20992249
0.13000000	-0.00239911	0.14840674
0.13100000	-0.45641610	0.10420768
0.13200000	-0.76374876	0.09833292
0.13300000	-0.88176674	0.13167445
0.13400000	-0.77577507	0.18731545
0.13500000	-0.45918429	0.25759721
0.13600000	-0.05942421	0.31862080
0.13700000	0.36549580	0.36103591
0.13800000	0.68205583	0.37567666
0.13900000	0.84122783	0.36054379
0.14000000	0.80717891	0.31382260
0.14100000	0.58692175	0.24234129
0.14200000	0.21395177	0.17821112
0.14300000	-0.25639763	0.13096702
0.14400000	-0.62782973	0.10768332
0.14500000	-0.84814835	0.11189715
0.14600000	-0.85045522	0.14969857
0.14700000	-0.63315082	0.21512057
0.14800000	-0.27694389	0.28235728
0.14900000	0.16670768	0.34171999
0.15000000	0.54213828	0.37395424
0.15100000	0.79269195	0.37453863
0.15200000	0.85402310	0.33938238
0.15300000	0.71724284	0.27334523
0.15400000	0.40591165	0.20626231
0.15500000	-0.03291092	0.14812993
0.15600000	-0.44177535	0.11020546
0.15700000	-0.76199555	0.09808686
0.15800000	-0.87586123	0.12429257
0.15900000	-0.76688606	0.18485482
0.16000000	-0.47742373	0.25209153
0.16100000	-0.04825911	0.31631398
0.16200000	0.35952878	0.35992864
0.16300000	0.68513167	0.37629184
0.16400000	0.84196603	0.35869834
0.16500000	0.80564100	0.30963951
0.16600000	0.57935530	0.24858513
0.16700000	0.19866511	0.18500862
0.16800000	-0.22468626	0.13228962
0.16900000	-0.62967521	0.09771776
0.17000000	-0.84596455	0.10636073
0.17100000	-0.84291953	0.15664986
0.17200000	-0.64077878	0.22124138
0.17300000	-0.26731667	0.29152313
0.17400000	0.14646900	0.34378076
0.17500000	0.53930855	0.36980191
0.17600000	0.78638655	0.36687991
0.17700000	0.84993231	0.33541462
0.17800000	0.71684301	0.28005046
0.17900000	0.40877214	0.20918430
0.18000000	-0.00255290	0.15074433
0.18100000	-0.45715427	0.11318897
0.18200000	-0.76144195	0.10734498
0.18300000	-0.87278545	0.13398130
0.18400000	-0.76679379	0.18654650
0.18499999	-0.45687747	0.25744340
0.18599999	-0.06019316	0.31862080
0.18699999	0.36531126	0.36103591
0.18799999	0.68220967	0.37567666
0.18899999	0.84199679	0.36054379
0.18999999	0.80487204	0.31397638
0.19099999	0.57794046	0.24311024
0.19199999	0.20497048	0.17590427
0.19299999	-0.25873524	0.12198573
0.19399999	-0.62690699	0.09870202
0.19499999	-0.84722567	0.10959031
0.19599999	-0.85279280	0.15043676
0.19699999	-0.64213216	0.21527436
0.19799999	-0.28595597	0.28235728
0.19899999	0.16440083	0.34171999
0.19999999	0.54290724	0.37376967
0.20099999	0.79284573	0.37376967
0.20199999	0.85383856	0.34171999
0.20299999	0.71647394	0.28235728
0.20399999	0.40821850	0.21527436
0.20499999	-0.02392963	0.15043676
0.20599999	-0.43282479	0.10943651
0.20699999	-0.75968874	0.09793307
0.20799999	-0.87663019	0.12429257
0.20899999	-0.76703984	0.18485482
0.20999999	-0.47742373	0.25209153
0.21099999	-0.04825911	0.31631398
0.21199999	0.35952878	0.35992864
0.21299999	0.68513167	0.37629184
0.21399999	0.84196603	0.35869834
0.21499999	0.80564100	0.30963951
0.21599999	0.57935530	0.24843135
0.21699999	0.19866511	0.18423967
0.21799999	-0.22453249	0.13475025
0.21899999	-0.62890625	0.10749877
0.21999999	-0.84845597	0.11303519
0.22099999	-0.85266978	0.14997539
0.22199999	-0.64745325	0.21149114
0.22299999	-0.26064223	0.28903174
0.22399999	0.15625000	0.34454972
0.22499999	0.54176921	0.36995572
0.22599999	0.78561759	0.36687991
0.22699999	0.84977853	0.33541462
0.22799999	0.71684301	0.28005046
0.22899999	0.40877214	0.20918430
0.22999999	-0.00255290	0.15089813
0.23099999	-0.45715427	0.11395792
0.23199999	-0.76144195	0.10516117
0.23299999	-0.87278545	0.12576894
0.23399999	-0.76679379	0.17525837
0.23499999	-0.45687747	0.24612451
0.23599999	-0.06019316	0.31040847
0.23699999	0.36531126	0.35885212
0.23799999	0.68220967	0.37644562
0.23899999	0.84199679	0.36069760
0.23999999	0.80487204	0.31397638
0.24099999	0.57794046	0.24311024
0.24199999	0.20497048	0.17590427
0.24299999	-0.25873524	0.12198573
0.24399999	-0.62709153	0.09870202
0.24499999	-0.84799457	0.10959031
0.24599999	-0.85030144	0.15043676
0.24699999	-0.63238192	0.21527436
0.24799999	-0.27912772	0.28235728
0.24899999	0.15846457	0.34171999
0.24999999	0.53066558	0.37376967
0.25099999	0.78063482	0.37376967
0.25199999	0.84811759	0.34171999
0.25299999	0.72407109	0.28235728
0.25399999	0.41566190	0.21512057
0.25499999	-0.03045030	0.14969857
0.25599999	-0.44254428	0.11174335
0.25699999	-0.76214933	0.10691437
0.25799999	-0.87570745	0.13327387
0.25899999	-0.76611710	0.18719243
0.25999999	-0.47973055	0.25132260
0.26099999	-0.05724040	0.31616017
0.26199999	0.35054749	0.35992864
0.26299999	0.68282479	0.37629184
0.26399999	0.84273499	0.35885212
0.26499999	0.80579478	0.31040847
0.26599999	0.57935530	0.24612451
0.26699999	0.19866511	0.17525837
0.26799999	-0.22468626	0.12576894
0.26899999	-0.62967521	0.10516117
0.26999999	-0.84611833	0.11395792
0.27099999	-0.84368849	0.15089813
0.27199999	-0.63847196	0.20903051
0.27299999	-0.25833538	0.27928150
0.27399999	0.15548106	0.33787525
0.27499999	0.54161543	0.37666091
0.27599999	0.78561759	0.37666091
0.27699999	0.84977853	0.33787525
0.27799999	0.71684301	0.27928150
0.27899999	0.40877214	0.20903051
0.27999999	-0.00255290	0.15089813
0.28099999	-0.45715427	0.11395792
0.28199999	-0.76128817	0.10500738
0.28299999	-0.87201649	0.12500000
0.28399999	-0.76910067	0.17756520
0.28499999	-0.46582800	0.25510579
0.28599999	-0.06914370	0.31954354
0.28699999	0.36300442	0.36195865
0.28799999	0.68297857	0.37333909
0.28899999	0.84215057	0.35153174
0.28999999	0.80487204	0.30484128
0.29099999	0.57794046	0.24003445
0.29199999	0.20497048	0.17898007
0.29299999	-0.25873524	0.13112082
0.29399999	-0.62690699	0.10768332
