Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	0.69085258	0.10380782
-0.00300000	0.37918308	0.12619956
-0.00200000	-0.03509473	0.17292076
-0.00100000	-0.49154159	0.23711245
0.00000000	-0.78426427	0.30124262
0.00100000	-0.87260085	0.35577634
0.00200000	-0.74886197	0.37921384
0.00300000	-0.42864174	0.36832553
0.00400000	-0.02918922	0.32747909
0.00500000	0.39087105	0.26264149
0.00600000	0.69605070	0.19555856
0.00700000	0.83947468	0.13619587
0.00800000	0.78786296	0.10396162
0.00900000	0.55062747	0.10337722
0.01000000	0.17165969	0.13853346
0.01100000	-0.29321480	0.20457062
0.01200000	-0.64985234	0.27165353
0.01300000	-0.84777927	0.32978591
0.01400000	-0.83252335	0.36771038
0.01500000	-0.60494584	0.37982899
0.01600000	-0.24615526	0.35362327
0.01700000	0.19146776	0.29306102
0.01800000	0.55828619	0.22582431
0.01900000	0.79915106	0.16160187
0.02000000	0.84614909	0.11798720
0.02100000	0.69306719	0.10162401
0.02200000	0.36983266	0.11906373
0.02300000	-0.07504921	0.16750738
0.02400000	-0.47822341	0.23179133
0.02500000	-0.78211123	0.30265749
0.02600000	-0.87530756	0.35230067
0.02700000	-0.74394071	0.37349287
0.02800000	-0.44306716	0.36165109
0.02900000	-0.01571727	0.31803641
0.03000000	0.38911787	0.25975025
0.03100000	0.71112204	0.19552781
0.03200000	0.85362327	0.14311638
0.03300000	0.79490650	0.11042077
0.03400000	0.55090427	0.11011319
0.03500000	0.15932579	0.14157850
0.03600000	-0.26402560	0.20001845
0.03700000	-0.65812624	0.27697465
0.03800000	-0.85688359	0.33833662
0.03900000	-0.83203125	0.37527683
0.04000000	-0.61232775	0.38112080
0.04100000	-0.22797737	0.35509965
0.04200000	0.18568529	0.29958171
0.04300000	0.56699067	0.22265625
0.04400000	0.79961246	0.15837230
0.04500000	0.84802532	0.11595719
0.04600000	0.69752705	0.10457677
0.04700000	0.37250862	0.12638411
0.04800000	-0.04481422	0.17292076
0.04900000	-0.49400222	0.23711245
0.05000000	-0.78349531	0.30124262
0.05100000	-0.87244707	0.35577634
0.05200000	-0.74886197	0.37936762
0.05300000	-0.42864174	0.36909449
0.05400000	-0.02918922	0.32514149
0.05500000	0.39087105	0.25362942
0.05600000	0.69605070	0.18642348
0.05700000	0.83947468	0.13312007
0.05800000	0.78786296	0.10706816
0.05900000	0.55062747	0.11251231
0.06000000	0.17165969	0.14751476
0.06100000	-0.29321480	0.20687746
0.06200000	-0.64985234	0.27088460
0.06300000	-0.84777927	0.32963213
0.06400000	-0.83267719	0.36771038
0.06500000	-0.60571480	0.37982899
0.06600000	-0.24381767	0.35362327
0.06700000	0.20047982	0.29306102
0.06800000	0.56726748	0.22582431
0.06900000	0.80148870	0.16160187
0.07000000	0.84522635	0.11798720
0.07100000	0.69214445	0.10162401
0.07200000	0.37217027	0.11906373
0.07300000	-0.06606791	0.16750738
0.07400000	-0.46924213	0.23179133
0.07500000	-0.77977359	0.30265749
0.07600000	-0.87623030	0.35230067
0.07700000	-0.74486345	0.37349287
0.07800000	-0.44060653	0.36180487
0.07900000	-0.00599779	0.31880537
0.08000000	0.39579234	0.25744340
0.08100000	0.70447832	0.18654650
0.08200000	0.84387302	0.13398130
0.08300000	0.79244584	0.10734498
0.08400000	0.55167323	0.11334276
0.08500000	0.15947957	0.15151329
0.08600000	-0.26387179	0.20669292
0.08700000	-0.65735728	0.27030021
0.08800000	-0.85919046	0.32874015
0.08900000	-0.84101254	0.37355438
0.09000000	-0.62130904	0.37958291
0.09100000	-0.23028420	0.34624138
0.09200000	0.18657726	0.29060039
0.09300000	0.56791341	0.22031865
0.09400000	0.79730558	0.15911049
0.09500000	0.83904403	0.11611097
0.09600000	0.68851501	0.10457677
0.09700000	0.37020177	0.12638411
0.09800000	-0.04407603	0.17292076
0.09900000	-0.49384841	0.23711245
0.10000000	-0.78364909	0.30124262
0.10100000	-0.87321603	0.35577634
0.10200000	-0.74655509	0.37936762
0.10300000	-0.41966042	0.36909449
0.10400000	-0.02017717	0.32514149
0.10500000	0.39317790	0.25362942
0.10600000	0.69528174	0.18657726
0.10700000	0.83932084	0.13388902
0.10800000	0.78786296	0.10473056
0.10900000	0.55062747	0.10353100
0.11000000	0.17165969	0.13853346
0.11100000	-0.29321480	0.20457062
0.11200000	-0.64985234	0.27165353
0.11300000	-0.84777927	0.32978591
0.11400000	-0.83252335	0.36771038
0.11500000	-0.60494584	0.37982899
0.11600000	-0.24615526	0.35362327
0.11700000	0.19146776	0.29306102
0.11800000	0.55828619	0.22582431
0.11900000	0.79915106	0.16160187
0.12000000	0.84599531	0.11798720
0.12100000	0.69229823	0.10162401
0.12200000	0.37217027	0.11906373
0.12300000	-0.06606791	0.16750738
0.12400000	-0.46924213	0.23163755
0.12500000	-0.77977359	0.30191928
0.12600000	-0.87607652	0.35463828
0.12700000	-0.74409449	0.38250491
0.12800000	-0.44306716	0.37063238
0.12900000	-0.01571727	0.32034326
0.13000000	0.38911787	0.25898129
0.13100000	0.71112204	0.19537401
0.13200000	0.85362327	0.14296260
0.13300000	0.79490650	0.10965182
0.13400000	0.55090427	0.11257382
0.13500000	0.15932579	0.15135950
0.13600000	-0.26402560	0.20669292
0.13700000	-0.65812624	0.27030021
0.13800000	-0.85688359	0.32874015
0.13900000	-0.83203125	0.37355438
0.14000000	-0.61232775	0.37958291
0.14100000	-0.22797737	0.34624138
0.14200000	0.18568529	0.29060039
0.14300000	0.56699067	0.22031865
0.14400000	0.79961246	0.15911049
0.14500000	0.84802532	0.11611097
0.14600000	0.69737327	0.10457677
0.14700000	0.37173966	0.12638411
0.14800000	-0.04250738	0.17292076
0.14900000	-0.48502091	0.23711245
0.15000000	-0.77448326	0.30124262
0.15100000	-0.87010950	0.35577634
0.15200000	-0.74978471	0.37921384
0.15300000	-0.42956448	0.36832553
0.15400000	-0.02703617	0.32747909
0.15500000	0.39908341	0.26264149
0.15600000	0.70733881	0.19555856
0.15700000	0.85076278	0.13619587
0.15800000	0.79607528	0.10396162
0.15900000	0.55278051	0.10337722
0.16000000	0.17089075	0.13853346
0.16100000	-0.29336861	0.20457062
0.16200000	-0.64985234	0.27165353
0.16300000	-0.84777927	0.32978591
0.16400000	-0.83267719	0.36771038
0.16500000	-0.60571480	0.37982899
0.16600000	-0.24381767	0.35362327
0.16700000	0.20047982	0.29306102
0.16800000	0.56726748	0.22582431
0.16900000	0.80148870	0.16160187
0.17000000	0.84522635	0.11798720
0.17100000	0.69214445	0.10162401
0.17200000	0.37201649	0.11906373
0.17300000	-0.06683686	0.16750738
0.17400000	-0.46690452	0.23179133
0.17500000	-0.77079231	0.30265749
0.17600000	-0.86706448	0.35214689
0.17700000	-0.74178767	0.37275466
0.17800000	-0.44368234	0.36411172
0.17900000	-0.01513287	0.32778665
0.18000000	0.38681102	0.26642472
0.18100000	0.70214075	0.18888411
0.18200000	0.84464198	0.13336614
0.18300000	0.79259968	0.10796013
0.18400000	0.55167323	0.11088213
0.18499999	0.15947957	0.14173228
0.18599999	-0.26387179	0.20001845
0.18699999	-0.65735728	0.27697465
0.18799999	-0.85934424	0.33833662
0.18899999	-0.84178150	0.37527683
0.18999999	-0.61900222	0.38112080
0.19099999	-0.22127214	0.35509965
0.19199999	0.19558932	0.29958171
0.19299999	0.57022023	0.22265625
0.19399999	0.79653668	0.15837230
0.19499999	0.83889025	0.11595719
0.19599999	0.68851501	0.10457677
0.19699999	0.37020177	0.12638411
0.19799999	-0.04407603	0.17292076
0.19899999	-0.49384841	0.23711245
0.19999999	-0.78364909	0.30124262
0.20099999	-0.87321603	0.35577634
0.20199999	-0.74655509	0.37921384
0.20299999	-0.41966042	0.36832553
0.20399999	-0.02017717	0.32747909
0.20499999	0.39317790	0.26264149
0.20599999	0.69512796	0.19555856
0.20699999	0.83855194	0.13619587
0.20799999	0.79020053	0.10396162
0.20899999	0.55963951	0.10337722
0.20999999	0.18067175	0.13837968
0.21099999	-0.29090798	0.20380168
0.21199999	-0.65062129	0.27396038
0.21299999	-0.84793305	0.33879799
0.21399999	-0.83252335	0.37672243
0.21499999	-0.60494584	0.38213584
0.21599999	-0.24615526	0.35285434
0.21699999	0.19146776	0.29287648
0.21799999	0.55813235	0.22582431
0.21899999	0.79838210	0.16160187
0.21999999	0.84830219	0.11783341
0.22099999	0.70124876	0.10085507
0.22199999	0.38099778	0.12137057
0.22299999	-0.06453002	0.17651944
0.22399999	-0.46767348	0.24080339
0.22499999	-0.77094609	0.30499509
0.22599999	-0.86706448	0.35153174
0.22699999	-0.74178767	0.37333909
0.22799999	-0.44383612	0.36180487
0.22899999	-0.01587106	0.31880537
0.22999999	0.38911787	0.25759721
0.23099999	0.71112204	0.18731545
0.23199999	0.85362327	0.13182825
0.23299999	0.79490650	0.09910187
0.23399999	0.55090427	0.10202387
0.23499999	0.15932579	0.14019439
0.23599999	-0.26402560	0.19844981
0.23699999	-0.65812624	0.26814714
0.23799999	-0.85703743	0.32950911
0.23899999	-0.83280021	0.37370816
0.23999999	-0.61002094	0.37958291
0.24099999	-0.21896531	0.34624138
0.24199999	0.19482037	0.29060039
0.24299999	0.57006645	0.22031865
0.24399999	0.79653668	0.15911049
0.24499999	0.83889025	0.11611097
0.24599999	0.68851501	0.10457677
0.24699999	0.37020177	0.12638411
0.24799999	-0.04407603	0.17292076
0.24899999	-0.49384841	0.23711245
0.24999999	-0.78349531	0.30124262
0.25099999	-0.87244707	0.35577634
0.25199999	-0.74904650	0.37921384
0.25299999	-0.42941067	0.36832553
0.25399999	-0.02703617	0.32747909
0.25499999	0.39908341	0.26264149
0.25599999	0.70733881	0.19555856
0.25699999	0.85076278	0.13619587
0.25799999	0.79607528	0.10396162
0.25899999	0.55278051	0.10337722
0.25999999	0.17089075	0.13853346
0.26099999	-0.29336861	0.20457062
0.26199999	-0.64985234	0.27165353
0.26299999	-0.84777927	0.32978591
0.26399999	-0.83267719	0.36771038
0.26499999	-0.60571480	0.37982899
0.26599999	-0.24381767	0.35362327
0.26699999	0.20047982	0.29306102
0.26799999	0.56726748	0.22582431
0.26899999	0.80148870	0.16160187
0.26999999	0.84522635	0.11798720
0.27099999	0.69214445	0.10162401
0.27199999	0.37201649	0.11906373
0.27299999	-0.06683686	0.16750738
0.27399999	-0.46675074	0.23163755
0.27499999	-0.77002335	0.30191928
0.27599999	-0.86955583	0.35463828
0.27699999	-0.75150710	0.38250491
0.27799999	-0.45047984	0.37063238
0.27899999	-0.00922736	0.32034326
0.27999999	0.39886811	0.25913510
0.28099999	0.71358269	0.19614296
0.28199999	0.85285431	0.14080955
0.28299999	0.79475272	0.10140871
0.28399999	0.55090427	0.10110113
0.28499999	0.15932579	0.13927165
0.28599999	-0.26387179	0.20078740
0.28699999	-0.65735728	0.27712846
0.28799999	-0.85934424	0.33833662
0.28899999	-0.84178150	0.37527683
0.28999999	-0.61900222	0.38096702
0.29099999	-0.22127214	0.35433072
0.29199999	0.19558932	0.30191928
0.29299999	0.57022023	0.23163755
0.29399999	0.79638284	0.16750738
