Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	0.28549460	0.29133859
-0.00300000	-0.17150590	0.34402683
-0.00200000	-0.55696356	0.37303150
-0.00100000	-0.81542200	0.37361589
0.00000000	-0.86503446	0.34171999
0.00100000	-0.69860357	0.28235728
0.00200000	-0.36552659	0.21512057
0.00300000	0.08664493	0.14969857
0.00400000	0.47994587	0.11174335
0.00500000	0.75590551	0.10691437
0.00600000	0.85159326	0.13327387
0.00700000	0.75175321	0.18719243
0.00800000	0.47290230	0.25132260
0.00900000	0.05828617	0.31616017
0.01000000	-0.35934424	0.35992864
0.01100000	-0.72013408	0.37629184
0.01200000	-0.87512302	0.35869834
0.01300000	-0.80247295	0.30963951
0.01400000	-0.54195374	0.24858513
0.01500000	-0.12973671	0.18500862
0.01600000	0.28389516	0.13228962
0.01700000	0.63733393	0.09771776
0.01800000	0.82914001	0.10636073
0.01900000	0.82975519	0.15664986
0.02000000	0.63548845	0.22108760
0.02100000	0.27718997	0.29075417
0.02200000	-0.14585383	0.34608760
0.02300000	-0.57200420	0.37881398
0.02400000	-0.82664859	0.37589198
0.02500000	-0.87447709	0.33772147
0.02600000	-0.70438606	0.27946603
0.02700000	-0.33938238	0.20976870
0.02800000	0.07781742	0.14840674
0.02900000	0.48634350	0.10420768
0.03000000	0.75919658	0.09848671
0.03100000	0.85359251	0.13244340
0.03200000	0.75547493	0.18500862
0.03300000	0.48132998	0.24858513
0.03400000	0.08200049	0.30963951
0.03500000	-0.38351992	0.35869834
0.03600000	-0.71702754	0.37644562
0.03700000	-0.87198573	0.36069760
0.03800000	-0.80696356	0.31397638
0.03900000	-0.52971208	0.24311024
0.04000000	-0.14443898	0.17590427
0.04100000	0.29318404	0.12198573
0.04200000	0.63333535	0.09870202
0.04300000	0.82397270	0.10959031
0.04400000	0.82443404	0.15028298
0.04500000	0.63564223	0.21450542
0.04600000	0.28641734	0.28466412
0.04700000	-0.17061393	0.35067052
0.04800000	-0.55945498	0.38275099
0.04900000	-0.82520300	0.37610728
0.05000000	-0.87155509	0.34095103
0.05100000	-0.69116020	0.28220350
0.05200000	-0.35823697	0.21512057
0.05300000	0.07938607	0.14969857
0.05400000	0.47237942	0.11174335
0.05500000	0.76168799	0.10691437
0.05600000	0.86365032	0.13312007
0.05700000	0.76319510	0.18642348
0.05800000	0.48111466	0.25347564
0.05900000	0.06046998	0.32437253
0.06000000	-0.36011317	0.37124753
0.06100000	-0.72028792	0.38761073
0.06200000	-0.87512302	0.36709523
0.06300000	-0.80247295	0.31256151
0.06400000	-0.54195374	0.24535556
0.06500000	-0.12973671	0.17507382
0.06600000	0.28389516	0.12561515
0.06700000	0.63733393	0.10442298
0.06800000	0.82914001	0.11611097
0.06900000	0.82975519	0.15911049
0.07000000	0.63548845	0.22031865
0.07100000	0.27718997	0.29060039
0.07200000	-0.14600763	0.34608760
0.07300000	-0.57277310	0.37881398
0.07400000	-0.82434177	0.37589198
0.07500000	-0.86546504	0.33772147
0.07600000	-0.69525099	0.27928150
0.07700000	-0.33627585	0.20903051
0.07800000	0.07474163	0.15074433
0.07900000	0.47723916	0.11318897
0.08000000	0.75036907	0.10734498
0.08100000	0.85205460	0.13398130
0.08200000	0.75406003	0.18639271
0.08300000	0.47327140	0.25667447
0.08400000	0.07071235	0.32095841
0.08500000	-0.39480808	0.37001723
0.08600000	-0.72523993	0.38465798
0.08700000	-0.87413877	0.36285064
0.08800000	-0.80619460	0.31323817
0.08900000	-0.52955830	0.24295644
0.09000000	-0.14459276	0.17590427
0.09100000	0.29241511	0.12198573
0.09200000	0.63567299	0.09854823
0.09300000	0.83298475	0.10882135
0.09400000	0.83344609	0.15277436
0.09500000	0.63794905	0.22428642
0.09600000	0.28549460	0.29133859
0.09700000	-0.17150590	0.34402683
0.09800000	-0.55711734	0.37303150
0.09900000	-0.81619096	0.37361589
0.10000000	-0.86272758	0.34171999
0.10100000	-0.68962228	0.28235728
0.10200000	-0.35654527	0.21512057
0.10300000	0.08895177	0.14969857
0.10400000	0.47917691	0.11174335
0.10500000	0.75575173	0.10691437
0.10600000	0.85174704	0.13327387
0.10700000	0.75252217	0.18719243
0.10800000	0.47044167	0.25116879
0.10900000	0.04856668	0.31539124
0.11000000	-0.36586490	0.36226624
0.11100000	-0.71272147	0.38527313
0.11200000	-0.86771035	0.36786416
0.11300000	-0.80899358	0.31271529
0.11400000	-0.55170399	0.24550936
0.11500000	-0.13222811	0.17584276
0.11600000	0.28466412	0.12327756
0.11700000	0.63751847	0.09541093
0.11800000	0.82898623	0.10712968
0.11900000	0.82898623	0.15680364
0.12000000	0.63782603	0.22108760
0.12100000	0.28620201	0.29075417
0.12200000	-0.13699557	0.34608760
0.12300000	-0.57043552	0.37881398
0.12400000	-0.82511073	0.37589198
0.12500000	-0.86561882	0.33772147
0.12600000	-0.69525099	0.27928150
0.12700000	-0.33627585	0.20903051
0.12800000	0.07474163	0.15074433
0.12900000	0.47723916	0.11318897
0.13000000	0.75036907	0.10734498
0.13100000	0.85205460	0.13398130
0.13200000	0.75390625	0.18639271
0.13300000	0.47250247	0.25667447
0.13400000	0.07304995	0.32095841
0.13500000	-0.38582677	0.37001723
0.13600000	-0.71628934	0.38465798
0.13700000	-0.87180120	0.36285064
0.13800000	-0.80696356	0.31308439
0.13900000	-0.52971208	0.24218750
0.14000000	-0.14459276	0.17821112
0.14100000	0.29241511	0.13096702
0.14200000	0.63567299	0.10752953
0.14300000	0.83298475	0.11112820
0.14400000	0.83344609	0.15200542
0.14500000	0.63794905	0.22413263
0.14600000	0.28549460	0.29133859
0.14700000	-0.17150590	0.34402683
0.14800000	-0.55711734	0.37318528
0.14900000	-0.81619096	0.37438485
0.15000000	-0.86257380	0.33938238
0.15100000	-0.68885332	0.27334523
0.15200000	-0.35885212	0.20610851
0.15300000	0.08000123	0.14736098
0.15400000	0.47004184	0.11266609
0.15500000	0.75267595	0.10783710
0.15600000	0.85466903	0.13081324
0.15700000	0.76085752	0.17744218
0.15800000	0.48188362	0.24467888
0.15900000	0.06062377	0.32283464
0.16000000	-0.36011317	0.36986342
0.16100000	-0.72028792	0.37952140
0.16200000	-0.87512302	0.35577634
0.16300000	-0.80247295	0.30124262
0.16400000	-0.54195374	0.23711245
0.16500000	-0.12973671	0.17292076
0.16600000	0.28389516	0.12638411
0.16700000	0.63733393	0.10457677
0.16800000	0.82914001	0.11611097
0.16900000	0.82975519	0.15911049
0.17000000	0.63548845	0.22031865
0.17100000	0.27718997	0.29060039
0.17200000	-0.14600763	0.34608760
0.17300000	-0.57277310	0.37881398
0.17400000	-0.82434177	0.37589198
0.17500000	-0.86546504	0.33772147
0.17600000	-0.69525099	0.27946603
0.17700000	-0.33627585	0.20976870
0.17800000	0.07474163	0.14840674
0.17900000	0.47723916	0.10420768
0.18000000	0.75036907	0.09833292
0.18100000	0.85205460	0.13167445
0.18200000	0.75390625	0.18716167
0.18300000	0.47250247	0.25682825
0.18400000	0.07304995	0.32111222
0.18499999	-0.38582677	0.37078616
0.18599999	-0.71628934	0.38235113
0.18699999	-0.87180120	0.35386935
0.18799999	-0.80696356	0.30422613
0.18899999	-0.52971208	0.24064961
0.18999999	-0.14459276	0.17667323
0.19099999	0.29241511	0.12213952
0.19199999	0.63567299	0.09854823
0.19299999	0.83298475	0.10882135
0.19399999	0.83344609	0.15277436
0.19499999	0.63794905	0.22428642
0.19599999	0.28549460	0.29133859
0.19699999	-0.17150590	0.34402683
0.19799999	-0.55711734	0.37303150
0.19899999	-0.81619096	0.37361589
0.19999999	-0.86272758	0.34171999
0.20099999	-0.68962228	0.28235728
0.20199999	-0.35669905	0.21527436
0.20299999	0.08818282	0.15043676
0.20399999	0.48151451	0.10943651
0.20499999	0.76476377	0.09793307
0.20599999	0.86057454	0.12429257
0.20699999	0.75406003	0.18485482
0.20799999	0.47213337	0.25209153
0.20899999	0.05813238	0.31631398
0.20999999	-0.35934424	0.35992864
0.21099999	-0.72013408	0.37629184
0.21199999	-0.87512302	0.35885212
0.21299999	-0.80247295	0.31040847
0.21399999	-0.54195374	0.24627830
0.21499999	-0.12973671	0.17599656
0.21599999	0.28389516	0.12327756
0.21699999	0.63733393	0.09541093
0.21799999	0.82914001	0.10712968
0.21899999	0.82975519	0.15680364
0.21999999	0.63548845	0.22108760
0.22099999	0.27718997	0.29075417
0.22199999	-0.14600763	0.34608760
0.22299999	-0.57277310	0.37881398
0.22399999	-0.82434177	0.37589198
0.22499999	-0.86546504	0.33772147
0.22599999	-0.69525099	0.27928150
0.22699999	-0.33627585	0.20903051
0.22799999	0.07474163	0.15074433
0.22899999	0.47723916	0.11318897
0.22999999	0.75021529	0.10734498
0.23099999	0.85128570	0.13398130
0.23199999	0.75621307	0.18654650
0.23299999	0.48148376	0.25744340
0.23399999	0.08200049	0.31862080
0.23499999	-0.38351992	0.36103591
0.23599999	-0.71702754	0.37567666
0.23699999	-0.87198573	0.36054379
0.23799999	-0.80696356	0.31397638
0.23899999	-0.52971208	0.24311024
0.23999999	-0.14459276	0.17590427
0.24099999	0.29241511	0.12198573
0.24199999	0.63567299	0.09854823
0.24299999	0.83298475	0.10882135
0.24399999	0.83344609	0.15277436
0.24499999	0.63794905	0.22428642
0.24599999	0.28549460	0.29133859
0.24699999	-0.17150590	0.34402683
0.24799999	-0.55711734	0.37303150
0.24899999	-0.81619096	0.37361589
0.24999999	-0.86257380	0.34171999
0.25099999	-0.68885332	0.28235728
0.25199999	-0.35885212	0.21512057
0.25299999	0.08000123	0.14969857
0.25399999	0.47019562	0.11174335
0.25499999	0.75344485	0.10691437
0.25599999	0.85236222	0.13312007
0.25699999	0.75190699	0.18642348
0.25799999	0.47290230	0.25362942
0.25899999	0.05828617	0.32514149
0.25999999	-0.35934424	0.36894071
0.26099999	-0.72013408	0.37859866
0.26199999	-0.87512302	0.35808316
0.26299999	-0.80247295	0.31025466
0.26399999	-0.54195374	0.24612451
0.26499999	-0.12973671	0.17525837
0.26599999	0.28389516	0.12561515
0.26699999	0.63733393	0.10442298
0.26799999	0.82914001	0.11611097
0.26899999	0.82975519	0.15911049
0.26999999	0.63548845	0.22031865
0.27099999	0.27718997	0.29060039
0.27199999	-0.14600763	0.34608760
0.27299999	-0.57277310	0.37881398
0.27399999	-0.82434177	0.37589198
0.27499999	-0.86546504	0.33772147
0.27599999	-0.69525099	0.27946603
0.27699999	-0.33627585	0.20976870
0.27799999	0.07474163	0.14840674
0.27899999	0.47723916	0.10420768
0.27999999	0.75036907	0.09833292
0.28099999	0.85205460	0.13167445
0.28199999	0.75390625	0.18716167
0.28299999	0.47250247	0.25682825
0.28399999	0.07304995	0.32095841
0.28499999	-0.38582677	0.37001723
0.28599999	-0.71628934	0.38465798
0.28699999	-0.87180120	0.36285064
0.28799999	-0.80696356	0.31323817
0.28899999	-0.52971208	0.24295644
0.28999999	-0.14459276	0.17590427
0.29099999	0.29241511	0.12198573
0.29199999	0.63567299	0.09870202
0.29299999	0.83298475	0.10959031
0.29399999	0.83344609	0.15043676
0.29499999	0.63794905	0.21527436
